2015-08-19 18:26:18.153 [RMI TCP Connection(3)-127.0.0.1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2015-08-19 18:26:18.233 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Aug 19 18:26:18 CST 2015]; root of context hierarchy
2015-08-19 18:26:18.289 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/application-context.xml]
2015-08-19 18:26:18.420 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/cache-context.xml]
2015-08-19 18:26:18.444 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/captcha-context.xml]
2015-08-19 18:26:18.468 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/jeecms/jeecore-context.xml]
2015-08-19 18:26:18.500 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/jeecms/jeecms-context.xml]
2015-08-19 18:26:18.591 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/shiro-context.xml]
2015-08-19 18:26:18.630 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/plug/test-context.xml]
2015-08-19 18:26:18.642 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/config/quartz-task.xml]
2015-08-19 18:26:19.350 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.b.factory.config.PropertyPlaceholderConfigurer - Loading properties file from ServletContext resource [/WEB-INF/config/jdbc.properties]
2015-08-19 18:26:19.514 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.517 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.609 [RMI TCP Connection(3)-127.0.0.1] INFO  com.mchange.v2.log.MLog - MLog clients using log4j logging.
2015-08-19 18:26:19.639 [RMI TCP Connection(3)-127.0.0.1] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
2015-08-19 18:26:19.700 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'dataSource' of type [class com.mchange.v2.c3p0.ComboPooledDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.742 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.config.PropertiesFactoryBean - Loading properties file from ServletContext resource [/WEB-INF/config/jdbc.properties]
2015-08-19 18:26:19.742 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.beans.factory.config.PropertiesFactoryBean - Loading properties file from ServletContext resource [/WEB-INF/config/jeecms/jeecms.properties]
2015-08-19 18:26:19.743 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'properties' of type [class org.springframework.beans.factory.config.PropertiesFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.745 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'properties' of type [class java.util.Properties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.749 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'propertyUtils' of type [class com.jeecms.common.util.PropertyUtils] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.778 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'treeInterceptor' of type [class com.jeecms.common.hibernate3.TreeIntercptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.784 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'cacheProvider' of type [class com.jeecms.common.hibernate3.SpringEhCacheProvider] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.790 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.context.support.XmlWebApplicationContext - Bean 'lobHandler' of type [class org.springframework.jdbc.support.lob.DefaultLobHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-08-19 18:26:19.906 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.annotations.common.Version - Hibernate Commons Annotations 3.2.0.Final
2015-08-19 18:26:19.910 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.Environment - Hibernate 3.6.10.Final
2015-08-19 18:26:19.911 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.Environment - hibernate.properties not found
2015-08-19 18:26:19.914 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.Environment - Bytecode provider name : javassist
2015-08-19 18:26:19.917 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.Environment - using JDK 1.4 java.sql.Timestamp handling
2015-08-19 18:26:19.994 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.038 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.053 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.066 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.081 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.094 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.108 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.120 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.134 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.148 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.164 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.178 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.193 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.206 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.217 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.229 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
